,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Lithologies,Scores
372,475,1209857,104,106.3,FG CLAY RICH SAND - CHALKY WHITE AT START OF INTERVAL - PUGGY TOWARDS THE END MINOR SANDY LAYERS TO 5CM NO FIZZ                                                                                                                                           ,mud,100,mud,sediment_clastic,sediment,mud,100
373,475,1209857,109,114.3,CORE LOSS- SUSPECT GRAVEL LAYER??---CL-109.11M  111.1 1.5MCL-MUD ROTARY - 114.3                                                                                                                                                                      ,mud,100,mud,sediment_clastic,sediment,gravel,100
374,475,1209857,114,116.5,MUDDY SANDS WITH COARSE GRAVEL UNIT AT UPPER CONTACT - 1CM CLAST SIZE - WITH FINE MUDDY SANDS PUGGY IN PLACES GRADING TO SEMI HARD BEDDED CHALKY SILTS 116.41.5M CL                                                                                     ,gravel,100,gravel,sediment_clastic,sediment,mud,100
375,475,1209857,116,118.9,FG WHITE SILTSTONE CHALKY WHITE SOFT - POLLISHABLE NO FIZZ FRACTURES ON BEDDING PLANES ?                                                                                                                                                                  ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
376,475,1209857,118,119.0,FG PALE WHITE SILTSTONE AS ABOVE - ORANGE OXIDATION LAST 10CM OF INTERVAL - CHALKY NO FIZZ                                                                                                                                                                ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
377,475,1209857,119,119.4,ORANGE SAND - MEDIUM COARSE GRAINED OXIDE STAINED -0.2 CORE LOSS-                                                                                                                                                                                         ,sand,100,sand,sediment_clastic,sediment,sand,100
378,475,1209857,119,119.7,RED OXIDISED SANDS MOD WELL COMPACTED - BREAKS ALONG BEDDING PLANE - MINOR GREY CLAYS -                                                                                                                                                                   ,mud,101,mud,sediment_clastic,sediment,mud,101
379,475,1209857,119,141.5,MASSIVE GREY FG SANDY MUDSTONE - MICA SEEN ON BEDDING? PLANES - GENERALLY FRACTURES ON BEDDING PLANES - GENERALLY FEATURELESS                                                                                                                             ,mudstone,100,mudstone,clastic,sedimentary_rock,mudstone,100
380,475,1209857,143,144.2,GREY FG SANDS MINOR MICA - MINOR CLAYS - POORLY PRESERVED BEDDING                                                                                                                                                                                         ,mud,100,mud,sediment_clastic,sediment,mud,100
381,475,1209857,168,169.7,FG SLIGHTLY PUGGY CLAYS IN SAND DOMINATED INTERVAL- NOT AS CONSOLIDATED AS THE UNIT ABOVE                                                                                                                                                                 ,mud,100,mud,sediment_clastic,sediment,mud,100
382,475,1209857,170,174.2,MASSIVE MODERATELY CONSOLIDATED MED GRAINED SAND SILICIFIED - HARD UNIT                                                                                                                                                                                   ,sand,100,sand,sediment_clastic,sediment,sand,101
383,475,1209857,199,206.2,HARD WHITE GREY SANDSTONE WITH TRACES OF ORGANIC MATERIALS - BLACK FLECKS COAL?? HARD CONSOLIDATED WELL SORTED SANDSTO                                                                                                                                  ,sandstone,100,sandstone,clastic,sedimentary_rock,coal,100
384,475,1209857,206,220.3,HARD CONSOLIDATED COARSE SANDS - SILICIFIED NO BEDDING NO FIZZ SANDSTONE                                                                                                                                                                                  ,sandstone,101,sandstone,clastic,sedimentary_rock,sandstone,101
385,475,1209857,220,224.3,MASSIVE HARD COARSE SANDSTONE ORANGE SLIGHT OXI - CRUDE BEDDING - CONSOLIDATES SILICIFIED                                                                                                                                                                 ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
386,475,1209857,224,231.1,MASSIVE SANDSTONE COARSE GRAINED WHITE GREY TRACE PURPLE CONSOLIDATED COMPACT SILICIFIED                                                                                                                                                                  ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
387,475,1209857,231,235.5,MEDIUM COARSE GRAINED SANDSTONE GREY MASSIVE - TRACE BEDDING AT 233.7-233.95 1CM BEDS - SLIGHT ANGLE TO CORE xBEDDING??                                                                                                                                   ,sandstone,100,sandstone,clastic,sedimentary_rock,sandstone,100
