,CODE,UNITNAME,DESCRIPTN,lithos,distance,GROUP_,FORMATION,MEMBER,BED,LITHNAME1,LITHNAME2,ROCKTYPE1,ROCKTYPE2
1863,K-CYl-chl,Lancelin Formation,"Glauconitic chalk, marl, and calcareous mudstone",mudstone,232894.40813564998,Coolyena Group,Lancelin Formation,,,chalk,,sedimentary other chemical or biochemical,
3277,K-CYo-sll,Osborne Formation,"Interbedded sandstone, siltstone, shale, and claystone; characteristically glauconitic","sandstone,claystone,shale,siltstone",155638.97903517733,Coolyena Group,Osborne Formation,,,siltstone/mudstone,,sedimentary siliciclastic,
14246,K-WN-sf,Winning Group,"Shale, siltstone, marl, and basal sandstone; commonly glauconitic; radiolarian siltstone in central part","shale,sandstone,siltstone",241730.23642503648,Winning Group,,,,siltstone + sandstone,,sedimentary siliciclastic,
1714,K-WRl-ss,Leederville Formation,Interbedded sandstone and siltstone; minor conglomerate; scattered thin coal seams,"sandstone,siltstone,conglomerate",214647.415050327,Warnbro Group,Leederville Formation,,,sandstone + siltstone,,sedimentary siliciclastic,
6110,OS-_tu-st,Tumblagooda Sandstone,"Sandstone, minor siltstone and granule to pebble conglomerate","sandstone,conglomerate,siltstone",183135.09278369948,,Tumblagooda Sandstone,,,sandstone,,sedimentary siliciclastic,
4661,P-_cg-sf,Carynginia Formation,"Micaceous siltstone and quartz sandstone, minor granule to pebble conglomerate, limestone","sandstone,siltstone,conglomerate,limestone",104097.55201997019,,Carynginia Formation,,,siltstone + sandstone,,sedimentary siliciclastic,
5982,P-_hi-st,High Cliff Sandstone,"Fine-grained quartz sandstone, subordinate interbeds of coarse-grained sandstone, conglomerate, and shale","sandstone,conglomerate,sandstone,shale",102959.25598649519,,High Cliff Sandstone,,,sandstone,,sedimentary siliciclastic,
6447,P-_ho-sh,Holmwood Shale,"Grey shale, well-bedded clayey siltstone, interbedded limestone","shale,limestone,siltstone",102311.1789690424,,Holmwood Shale,,,shale,,sedimentary siliciclastic,
6446,P-_ir-ssh,Irwin River Coal Measures,"Interbedded very coarse to fine grained sandstone, claystone, siltstone, shale (commonly carbonaceous), and coal","sandstone,claystone,shale,siltstone",103150.11537305567,,Irwin River Coal Measures,,,sandstone + siltstone,,sedimentary siliciclastic,
7688,P-_mi-ss,Mingenew Formation,"Fine- to coarse-grained sandstone, micaceous siltstone","sandstone,siltstone",119846.96001751555,,Mingenew Formation,,,sandstone + siltstone,,sedimentary siliciclastic,
1272,P-_wg-st,Wagina Sandstone,"Fine- to medium-grained, clayey quartz sandstone; minor conglomerate, shale, siltstone and coal","conglomerate,sandstone,shale,siltstone",105055.67994359272,,Wagina Sandstone,,,sandstone,,sedimentary siliciclastic,
5615,P_-OA-xs-b,Moora Group,"Sandstone, siltstone; basalt (in lower part), and dolomite and silicified dolomite (in upper part)","sandstone,basalt,siltstone",110999.7604538164,Moora Group,,,,,,sedimentary siliciclastic,igneous mafic volcanic
6653,P_-OAB-xss-b,Billeranga Subgroup,"Sandstone, siltstone, basalt and volcaniclastic sandstone","sandstone,basalt,sandstone,siltstone,volcaniclastic",82317.26587071574,Moora Group,,,,sandstone + siltstone,,sedimentary siliciclastic,igneous mafic volcanic
7048,P_-OAC-xss-kd,Coomberdale Subgroup,"Sandstone, siltstone, dolostone, stromatolitic dolostone and silicified dolostone","sandstone,dolostone,siltstone",81827.3396005989,Moora Group,,,,sandstone + siltstone,dolostone/dolomite,sedimentary siliciclastic,sedimentary carbonate
6651,P_-YA-s,Yandanooka Group,"Siltstone with abundant volcanic fragments, sandstone and conglomerate","siltstone,conglomerate,sandstone",103097.87866896622,Yandanooka Group,,,,,,sedimentary siliciclastic,
5616,P_-_mg-xmdn-mwa,Mullingarra Gneiss,"Quartzofeldspathic, semi-pelitic and pelitic gneiss; granoblastic texture common; minor pegmatitic and granitic segregations; includes lenses of quartzite and amphibolite","amphibolite,gneiss,quartzite",114679.47246344165,,Mullingarra Gneiss,,,siliciclastic gneiss,amphibolite,metasedimentary siliciclastic,meta-igneous mafic
2360,P_-g-PJNO,Northampton Inlier granitic unit,Granitic rock,"granitic rock,",180583.89909105326,,,,,,,igneous granitic,
6114,P_-mdn-PJNO,Northampton Inlier metasedimentary unit,Paragneiss,"gneiss,",186173.93559268527,,,,,siliciclastic gneiss,,metasedimentary siliciclastic,
2496,P_-mnqf-PJNO,Northampton Inlier gneissic unit,Quartzofeldspathic gneiss,"gneiss,",180165.3184537388,,,,,quartzofeldspathic gneiss,,metamorphic protolith unknown: gneiss,
2494,P_-mog-PJNO,Northampton Inlier metamorphosed mafic intrusive unit,Metamorphosed gabbroic rock,"gabbro,",187513.93882785633,,,,,metagabbro,,meta-igneous mafic intrusive,
7631,P_-od,Proterozoic mafic intrusive unit,"Dolerite dyke, sill, or plug; fine- to medium-grained dolerite and gabbro","dolerite,dolerite,gabbro",106554.11942187797,,,,,dolerite,,igneous mafic intrusive,
5518,P_-xmd-mb-BD,Badgeradda Basin metamorphosed unit,Metamorphosed siliciclastic rock and minor ?mafic volcanic rock; may correlate with Badgeradda Group and Nilling Formation,"mafic,siliciclastic,",207894.98257063533,,,,,metasiliciclastic rock,metamafic volcanic rock,metasedimentary siliciclastic,meta-igneous mafic volcanic
4756,R-_kk-sl,Kockatea Shale,Shale; minor siltstone and sandstone; in places calcareous; sandstone members at base,"shale,sandstone,siltstone",107542.17465344857,,Kockatea Shale,,,siltstone/mudstone,,sedimentary siliciclastic,
6655,R-_le-st,Lesueur Sandstone,Very fine to very coarse grained quartz sandstone; subordinate granule conglomerate; minor siltstone,"sandstone,conglomerate,siltstone",109729.04141155623,,Lesueur Sandstone,,,sandstone,,sedimentary siliciclastic,
1869,R-_wo-ss,Woodada Formation,"Fine- to medium-grained sandstone, interbedded with laminated siltstone","sandstone,siltstone",177568.82396612407,,Woodada Formation,,,sandstone + siltstone,,sedimentary siliciclastic,
14239,SD-_bi-st,Bindoo Sandstone,Ultramafic volcanic rock; metamorphosed,"mafic,ultramafic,",158753.00927609546,,Bindoo Sandstone,,,sandstone,,sedimentary siliciclastic,
