UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Skates Hills Formation,"Stromatolitic dolomite, sandstone, siltstone, chert, and basal conglomerate; evaporite pseudomorphs",850.0,720.0,"dolostone,sandstone,mudstone,chert,conglomerate,evaporite","101,101,101,101,101,000"
Skirmish Hill Formation,Dacitic to rhyolitic volcanic and volcaniclastic rock; minor basalt; metamorphosed,1085.0,1075.0,"dacitoid,rhyolitoid,volcaniclastic_mud,basalt","80,69,74,101"
Slatey Creek Granite,"Muscovite and biotite monzogranite, locally porphyritic; minor biotite granodiorite",1795.0,1795.0,"carbonatite,monzogranite,granodiorite","71,101,101"
Snell Well Granodiorite,Foliated granodiorite; metamorphosed,3013.0,3012.0,granodiorite,101
Snowys Dam Formation,"Sedimentary gneiss; psammitic, semipelitic, and locally calc-silicate and iron-rich layers; commonly interlayered with metagabbro, or mafic and felsic granulite",1332.0,1304.0,"granulite, mafic, pisolith, mudstone, gabbro, gneiss","101,75,86,101,101,101"
Sophie Downs Suite,"Leucocratic metagranite, metarhyolite, metabasalt and amphibolite, and minor metasedimentary rock",1913.0,1907.0,"granite,rhyolite,basalt,amphibolite,iron_sediment","101,101,101,101,67"
South Mallina Basalt Member,"Siliceous high-Mg basalt; typically variolitic, commonly with pyroxene spinifex textures, and pillowed",2950.0,2948.0,"basalt,pisolith,peridotite","101,74,59"
South West Terrane cataclasite,Mylonite and gneiss; derived from Archean and Proterozoic deformation of Archean rocks; adjacent to Darling Fault,3100.0,541.0,"mylonite,gneiss,fault","101,101,101"
South West Terrane greenstones,Amphibolite,3100.0,2650.0,"basalt, chert, ultramafic_rock, hornblendite, paragneiss, melilitolite, mafic, banded_iron_formation, quartzite, orthogneiss, granulite, spilite, hybrid_sedimentary_rock, peridotite, complex, gabbro, andesite, coarse_grained_plutonic_crystalline_igneous_rock, schist, till, granite, gneiss, migmatite, amphibolite, pyroclastic_rock, felsic, wacke, mudstone, talc_rock",101
South Whundo Monzogranite,"Monzogranite; massive, medium- to coarse-grained; metamorphosed",3013.0,3013.0,monzogranite,101
Southern Hills Suite,"Syenogranite gneiss, typically interlayered with metagabbro",1305.0,1288.0,"gneiss,gabbro","101,101"
Spear Hill Monzogranite,Coarse-grained to K-feldspar porphyritic biotite monzogranite,2851.0,2851.0,monzogranite,101
Speewah Basin felsic extrusive unit,"Porphyritic dacite; fine-grained, massive or flow banded",1850.0,1784.0,"dacite,bituminous_coal","101,67"
Speewah Group,"Sandstone, siltstone, and claystone; minor rhyolitic volcaniclastic siltstone",1835.0,1797.0,"sandstone,mudstone,mudstone,mudstone","101,101,101,101"
Splinter Gneiss,"Gabbro gneiss, locally garnet-rich, and layered intermediate gneiss; contains intrusions of Esperance Supersuite monzogranite and pegmatite",1276.0,1276.0,"gneiss,gneiss,monzogranite,pegmatite","101,101,101,101"
Split Rock Supersuite,"Undivided granitic rocks including monzogranite, syenogranite, and pegmatite",2851.0,2831.0,"monzogranite, syenogranite, pegmatite, granitoid, leucitic_rock","69,101,101,101"
Stirling Range Formation,"Metasandstone, quartzite, slate, and phyllite",2000.0,1800.0,"sandstone,quartzite,slate,phyllite","101,101,101,101"
Stockton Group,Diamictite overlain by claystone; lesser sandstone and siltstone,298.9,290.1,"diamictite,mudstone,sandstone,mudstone","101,101,101,101"
Stockyard Basalt Member,"basalt, komatiitic basalt, felsic tuff",2800.0,2760.0,"basalt, komatiitic basalt, felsic tuff",-1
Stokes Siltstone,Interbedded shale and siltstone; limestone; fine-grained sandstone,470.0,443.4,"mudstone,mudstone,limestone,sandstone","101,101,101,101"
Strelley Monzogranite,"Hornblende--biotite monzogranite and granophyric monzogranite; local diorite, dolerite, and gabbro; metamorphosed",3239.0,3238.0,"monzogranite,monzogranite,diorite,dolerite,gabbro","101,101,101,101,101"
Strelley Pool Formation,"Silicified carbonate rocks, sandstone, conglomerate, chert, and dolomite; stromatolitic; metamorphosed",3426.0,3350.0,"carbonate,sandstone,conglomerate,chert,dolostone,migmatite","100,101,101,101,101,78"
Strutton Intrusion,"Gabbro, pyroxenite, and peridotite; metamorphosed",3460.0,3427.0,"gabbro,pyroxenite,peridotite","101,101,101"
Stubbins Formation,"Metamorphosed dolerite sill; minor interlayered, metamorphosed feldspathic wacke, sandstone, siltstone, and mudstone",1864.0,1864.0,"quartzite, basalt, chert, sandstone, wacke, dolerite, mudstone, gabbro","100,101,101,101,101"
Surprise Orthogneiss,Migmatitic quartz--biotite orthogneiss,2769.0,2765.0,orthogneiss,101
Swincer Dolerite,Dolerite with minor gabbro; metamorphosed,2812.0,2812.0,"dolerite,gabbro","101,101"
Sylvania Inlier granitic unit,Granite to granodiorite; metamorphosed and variably foliated,3239.0,2918.0,"granite,granodiorite","101,101"
Sylvania Inlier greenstones,Komatiitic basalt; metamorphosed,3530.0,3239.0,"rhyolite, basalt, chert, schist, serpentinite, ultramafic_rock, felsic, volcaniclastic_breccia, bituminous_coal, sandstone, mafic, iron_sediment, peridotite, conglomerate, gabbro, mudstone, dolomicrite, dacite",101
Tabba Tabba Leucogranite,Biotite(--muscovite) granite; seriate to equigranular; fine to medium grained; massive to weakly foliated and metamorphosed,2851.0,2831.0,granite,101
Table Hill Volcanics,Basalt (in part vesicular and/or amygdaloidal) in multiple flows; minor interbedded sandstone and siltstone,508.0,505.0,"basalt,sandstone,mudstone","100,101,101"
Table Top Formation,Amphibolite; metamorphosed mafic volcanic and intrusive rocks; locally schistose,3515.0,3515.0,"amphibolite,mafic,coarse_grained_plutonic_crystalline_igneous_rock","101,100,100"
Tabletop Zone granitic unit,"Granitic rock, amphibolite, metamorphosed ultramafic rock of the Krackatinny Supersuite, metamorphosed banded iron-formation, quartzite, and orthogneiss",1590.0,1310.0,"granitoid,amphibolite,coarse_grained_ultramafic_rock,quartzite,orthogneiss","89,101,52,101,101"
Talbot Zone metasedimentary unit,"Quartzite, psammitic paragneiss, banded paragneiss, and pelitic schist; includes Larry Formation, Fingoon Quartzite, and Butler Creek and Poynton Formations",2500.0,1760.0,"quartzite,paragneiss,paragneiss,schist,quartzite","101,101,101,101,101"
Talbot and Connaughton Zones metagranitic unit,"Augen orthogneiss derived from granitic rocks of the Kalkan Supersuite; includes minor orthogneiss derived from granite, mafic, ultramafic, and metasedimentary rocks",1801.0,1762.0,"mafic,ultramafic_rock,iron_sediment","101,80,67"
Taliwanya Formation,"Arkose to arkosic sandstone, with local thick beds of polymictic conglomerate and rare thin interbeds of lithic wacke, siltstone, and shale; assignment to Throssell Range Group uncertain",911.0,650.0,"sandstone,sandstone,conglomerate,wacke,mudstone,mudstone","101,101,101,101,101,000"
Tambina Supersuite,"Metagranodiorite with amphibolite xenoliths along contacts of amphibolite rafts; equigranular, mesocratic to melanocratic",3451.0,3416.0,"granodiorite, carbonatite, monzogranite, tonalite, greenstone, gneiss, amphibolite","101,100,58"
Tambourah Monzogranite,"Pegmatitic to coarse-grained granite, generally as irregular patches in foliated biotite granodiorite (?Kavir granodiorite)",2851.0,2831.0,"pegmatite,granite,granodiorite","84,101,101"
Tank 44 Gneiss,"Interlayered mafic and quartzofeldspathic gneiss with abundant leucosomes, locally with garnet",1800.0,1201.0,"sinter,gneiss,lime_microstone,garnetite","91,101,54,80"
Tarcunyah Group,"Sandstone, siltstone, mudstone, and stromatolitic and non-stromatolitic dolomite; minor conglomerate",1000.0,635.0,"sandstone,mudstone,mudstone,migmatite,dolostone,conglomerate","101,101,101,78,101,101"
Tarlwa Pool Tonalite,Foliated hornblende--biotite metatonalite,3236.0,3236.0,tonalite,101
Tchukardine Formation,"Medium- to coarse-grained sandstone, quartz wacke, siltstone, and shale; minor conglomerate",635.0,541.0,"sandstone,wacke,mudstone,mudstone,conglomerate","101,101,101,101,101"
Teague Granite,Alkali feldspar granite; leucocratic,2648.0,2648.0,"granite,leucitic_rock","101,74"
Telegootherra Monzogranite,"monzogranite, syenogranite",2623.0,2623.0,"migmatite, monzogranite, syenogranite",-1
Texas Downs Formation,"Fine- to coarse-grained sandstone, pebbly sandstone, conglomerate, siltstone, and mudstone, intercalated with basalt flows and basaltic breccia",1827.0,1784.0,"sandstone,sandstone,conglomerate,mudstone,mudstone,basalt,breccia","101,101,101,101,101,000,000"
Thaduna Formation,"Lithic sandstone, litharenite, shale, siltstone, and quartz wacke; locally containing fragments of basaltic scoria and thin volcaniclastic lenses; minor dolomite",2170.0,1600.0,"sandstone,lithic_arenite,mudstone,mudstone,wacke,scoria,volcaniclastic_mud,dolostone","101,88,101,101,101,101,76,101"
Thelman Monzogranite,Muscovite--biotite(--garnet) monzogranite; equigranular to weakly porphyritic; fine to medium grained; massive to weakly foliated; weakly metamorphosed,2851.0,2831.0,monzogranite,101
Thirty Three Supersuite,"Leucocratic granite and metagranite, and pegmatite",995.0,939.0,"granite,granite,pegmatite","101,101,101"
Throssell Range Group,"Sandstone, shale, limestone, and dolomite",911.0,650.0,"sandstone,mudstone,limestone,dolostone","101,101,101,101"
Tickalara Metamorphics,Mafic extrusive and intrusive meta-igneous rock with interlayered metasedimentary rock; minor metagranitic rock,1865.0,1850.0,"mafic,coarse_grained_plutonic_crystalline_igneous_rock,iron_sediment,granitoid","100,100,67,89"
Tjauwata Group,Metamorphosed siliciclastic sedimentary and volcanic rocks,1085.0,1040.0,"conglomerate,felsic","64,62"
Tobin Formation,"Wacke, lithic sandstone, siltstone, abundant chert and banded iron-formation, and minor felsic volcaniclastic rocks; metamorphosed",2682.0,2640.0,"wacke,sandstone,mudstone,chert,bituminous_coal,felsic","101,101,101,101,71,100"
Tollu Group,Rhyolitic and basaltic volcanic rocks; conglomerate and sandstone,1073.0,1026.0,"rhyolitoid,basaltoid,conglomerate,sandstone","84,67,101,101"
Tooloo Group,"Siltstone, sandstone, granular iron-formation, dolomite, chert",2027.0,1650.0,"mudstone,sandstone,gravel,dolostone,chert","101,101,75,101,101"
Toorare Tonalite,Hornblende metatonalite and metagranodiorite; foliated and locally gneissic,2995.0,2995.0,"tonalite,granodiorite,gneiss","101,101,86"
Toppin Hill Formation,"Felsic volcanic and volcaniclastic rocks, with minor siliciclastic sedimentary rocks; metamorphosed",2699.0,2677.0,"felsic,volcaniclastic_mud,conglomerate","100,74,56"
Tozer Formation,"Basalt and dacitic to rhyolitic lava and pyroclastic rocks, variable silicification and carbonate alteration; metamorphosed",3128.0,3118.0,"basalt,dacitoid,rhyolitoid,pyroclastic_rock,carbonate","101,80,67,91,100"
Triberton Granodiorite,Biotite--hornblende granodiorite to tonalite; feldspar porphyritic; medium to coarse grained; common mafic xenoliths; weakly metamorphosed,3324.0,3277.0,"granodiorite,tonalite,metasomatic_rock,mafic","101,101,59,100"
Trillbar formation,"Gabbro, microgabbro, mafic and ultramafic schist; minor mafic rock; metamorphosed",2014.0,1920.0,"gabbro,dolerite,mafic,schist,mafic","101,101,101,101,100"
Tropicana Gneiss,"Metamorphosed banded iron-formation, metagabbro and metaleucogabbro; may include Archean or Paleoproterozoic metagranite",2800.0,1600.0,"chert, exotic_crystalline_igneous_rock, ultramafic_rock, dolerite, arenite, tonalite, gabbro, granite, gneiss","101,73,55,101"
Tropicana Zone metagranitic unit,Metagranite; intrudes Tropicana or Hercules Gneiss,2800.0,1600.0,"granite,gneiss","101,101"
Truslove Suite,Dominantly monzogranite; undeformed to moderately deformed; may include magnetite-rich varieties,1198.0,1162.0,monzogranite,101
Tuckanarra Suite,monzogranite,2697.0,2665.0,"monzogranite, granodiorite",-1
Tumbiana Formation,Basaltic volcanic rocks and carbonate rocks,2727.0,2715.0,"basaltoid,carbonate","67,100"
Tumblagooda Sandstone,"Sandstone, minor siltstone and granule to pebble conglomerate",485.4,419.2,"sandstone,mudstone,gravel,conglomerate","101,101,93,101"
Turee Creek Group,"Mudstone, siltstone, sandstone, conglomerate, dolomite; minor diamictite, limestone and iron formation; intruded by Balgara Dolerite sills",2445.0,2208.0,"mudstone,mudstone,sandstone,conglomerate,dolostone,diamictite,limestone,till,dolerite","101,101,101,101,101,101,101,67,100"
Turkey Hill Formation,"Sandstone, siltstone and mudstone; possibly diamictite",720.0,541.0,"sandstone,mudstone,mudstone,diamictite","101,101,101,101"
Twin Table Monzogranite,Monzogranite and alkali-feldspar granite; metamorphosed,3114.0,3114.0,"monzogranite,granite","101,101"
Ularring Monzogranite,Even-grained monzogranite,2632.0,2632.0,monzogranite,101
Umutju Granite Suite,Medium- to coarse-grained hornblende--pyroxene(--garnet) metagranite,1175.0,1148.0,granite,101
Underwood Gneiss,"Granitic gneiss and migmatite; metatonalite, metagranodiorite, and metamonzogranite banding; strongly sheared",3484.0,3462.0,"gneiss,migmatite,tonalite,granodiorite,monzogranite","101,101,101,101,100"
Upper Cretaceous carbonate rocks  greater Carnarvon Basin,"Chalky calcilutite, calcisiltite, calcarenite and marl",86.3,66.0,"calcilutite,calcilutite,calcarenite,marl","101,87,101,101"
Voodoo Child Formation,"Interlayered mafic to ultramafic intrusive rocks, metabasalt to metadacite volcanic rocks, and metasedimentary rocks; may include Paleoproterozoic metagranite",1780.0,1700.0,"sinter,coarse_grained_plutonic_crystalline_igneous_rock,basalt,dacite,iron_sediment,granite","91,100,101,100,67,101"
Wade Creek Formation,"Fine- to coarse-grained quartz sandstone, lithic quartz sandstone, pebbly sandstone, conglomerate, siltstone, and mudstone",1600.0,1000.0,"sandstone,sandstone,sandstone,conglomerate,mudstone,mudstone","101,101,101,101,101,000"
Wadgingarra Gabbro,schist,2801.0,2792.0,schist,-1
Wagina Sandstone,"Fine- to medium-grained, clayey quartz sandstone; minor conglomerate, shale, siltstone and coal",270.0,252.17,"sandstone,conglomerate,mudstone,mudstone,coal","101,101,101,101,101"
Wahlgu Formation,"Sandstone, diamictite (commonly polymictic), siltstone, dolomite; characteristically reddish",720.0,635.0,"sandstone,diamictite,mudstone,dolostone","101,101,101,101"
Waladah Gabbro,leucogabbro,2711.0,2711.0,leucogabbro,-1
Waldburg Dolerite,Dolerite and gabbro sills intruded into Edmund Group,1517.0,1505.0,"dolerite,gabbro","101,100"
Walganna Suite,"monzogranite, syenogranite",2650.0,2600.0,"micaite, monzogranite, syenogranite, sedimentary_rock, migmatite",-1
Walgoo Monzogranite,monzogranite,2640.0,2600.0,monzogranite,-1
Walgunya Trondhjemite,Quartz-rich biotite trondhjemite; medium to coarse grained; weakly metamorphosed,3324.0,3277.0,tonalite,101
Wallal Sandstone,Sandstone; minor siltstone and conglomerate,174.1,157.3,"sandstone,mudstone,conglomerate","101,101,101"
Wallareenya Granodiorite,Hornblende--biotite granodiorite and tonalite; massive to moderately foliated; locally inclusion-rich; weakly metamorphosed,2954.0,2954.0,"granodiorite,tonalite","101,101"
Waloo Waloo Monzogranite,Biotite monzogranite; medium grained; weakly foliated; metamorphosed,2988.0,2988.0,monzogranite,101
Waltha Woora Formation,"Stromatolitic dolomite, siltstone, shale, minor sandstone; discontinuous basal sandstone and conglomerate",1000.0,635.0,"dolostone,mudstone,mudstone,sandstone,sandstone,conglomerate","101,101,101,101,101,000"
Walungurru Volcanics,Metadacite and metarhyodacite; may include intermediate to mafic metavolcanic rocks,1680.0,1645.0,"dacite,rhyolite,adinole,mafic","101,101,57,100"
Waluwiya Suite,Foliated hornblende metagranodiorite to quartz metadiorite; may include two-pyroxene metagranite or migmatitc felsic rocks,1640.0,1630.0,"granodiorite,diorite,granite,felsic","101,101,101,100"
Wangata Monzogranite,monzogranite,2626.0,2626.0,monzogranite,-1
Wankanki Supersuite,Metamorphosed felsic volcanic rocks mixed with interlayered psammite and pelite,1319.0,1319.0,"phonolite, felsic, sandstone, mudstone, granite, gneiss","100,86,101"
Wanna Formation,"White-weathering quartz sandstone, minor siltstone; characteristic large to very large scale cross bedding",485.4,419.2,"sandstone,mudstone,microsparstone","101,101,46"
Warakurna Supersuite,"diorite, syenogranite",1085.0,1031.0,"fine_grained_ultramafic_rock, monzogranite, felsic, syenogranite, dolerite, mafic, granitoid, gabbro, granite, diorite",-1
Warambie Basalt,"Vesicular basalt and basaltic andesite, locally porphyritic, and volcaniclastic and siliciclastic sedimentary rocks; metamorphosed",3010.0,2991.0,"basalt,andesite,volcaniclastic_mud,conglomerate","101,101,88,56"
Warbadoo Tonalite,monzogranite,2743.0,2743.0,monzogranite,-1
Warlawurru Supersuite,Strongly foliated to gneissic biotite(--hornblende) metasyenogranite; garnet-bearing; commonly migmatitic,1607.0,1583.0,"syenogranite,migmatite","101,84"
Warnbro Group,"Interbedded sandstone, siltstone, and shale; minor conglomerate",139.8,113.0,"sandstone,mudstone,mudstone,conglomerate","101,101,101,101"
Waroongunyah Formation,"Dolomite, in part stromatolitic, siltstone, shale; sandstone; evaporite pseudomorphs",1000.0,635.0,"dolostone,migmatite,mudstone,mudstone,sandstone,evaporite","101,64,101,101,101,100"
Warrawoona Group,"Basalt; massive or pillowed, and locally variolitic; metamorphosed",3515.0,3427.0,"basalt, coarse_grained_plutonic_crystalline_igneous_rock, schist, serpentinite, kalsilitic_rock, felsic, mafic, peridotite, sediment",101
Warriedar Suite,"talc, tremolite, serpentine, magnetite schist",2801.0,2792.0,"talc, tremolite, serpentine, magnetite schist",-1
Warrigal Gneiss,"Foliated to gneissic, even-textured to sparsely porphyritic metamonzogranite; locally contains sheets and pods of amphibolite; cut by c. 1800 Ma pegmatite dykes; deformation is Paleoproterozoic",2758.0,2585.0,"gneiss,monzogranite,amphibolite,pegmatite","86,101,101,100"
Warton Sandstone,White to buff quartz sandstone and feldspathic sandstone; siltstone interbeds; minor hematitic sandstone,1835.0,1740.0,"sandstone,sandstone,mudstone,sandstone","101,101,100,101"
Wartu Monzogranite,Monzogranite; includes minor granite and granodiorite,2643.0,2643.0,"monzogranite,granite,granodiorite","101,101,101"
Watch Point Formation,"Fine- to medium-grained sandstone, silty sandstone, and shale",1000.0,720.0,"sandstone,sandstone,mudstone","101,101,101"
Wattagee Formation,basalt,2735.0,2700.0,"rhyolite, andesite, basalt, schist, felsic, mafic, dacite",-1
Weaber Group,"Siltstone, shale, sandstone, conglomerate; subordinate carbonate",350.0,298.9,"mudstone,mudstone,sandstone,conglomerate,carbonate","101,101,101,101,101"
Weeli Wolli Formation,"Banded iron-formation (commonly jaspilitic), mudstone, siltstone, and numerous dolerite sills; metamorphosed",2451.0,2450.0,"bituminous_coal,mudstone,mudstone,dolerite","71,101,101,100"
West Pilbara Superterrane mylonitic unit,"Mylonitic granitic, felsic and mafic volcanic, ultramafic, and sedimentary rocks",3200.0,2760.0,"granitoid,felsic,mafic,ultramafic_rock,iron_sediment","65,101,100,80,67"
Westralia Sandstone,Sandstone with interbedded subordinate siltstone in coarsening-upward sequence,295.0,290.1,"sandstone,mudstone","101,100"
Whitewater Volcanics,"Porphyritic rhyolite to dacite; coherent lavas, subvolcanic intrusions, and pyroclastic deposits; commonly crystal rich; minor volcanic breccia, lapilli tuff, and volcaniclastic rock; locally foliated",1864.0,1854.0,"rhyolite,dacite,chert,coarse_grained_plutonic_crystalline_igneous_rock,pyroclastic_rock,breccia,tuff,volcaniclastic_mud","101,101,56,57,63,101,101,74"
Whundo Group,Mafic and felsic volcanic rocks; local ultramafic rocks and chert; metamorphosed,3130.0,3110.0,"mafic,felsic,ultramafic_rock,chert","101,100,54,101"
Whyjabby Granodiorite,Hornblende granodiorite; microcline phenocrysts; foliated and with local xenoilths of tonalite gneiss; metamorphosed,2994.0,2994.0,"granodiorite,micrite,gneiss","101,71,101"
Widgiemooltha Supersuite,Dolerite and gabbro; includes cumulate and granophyric differentiates,2420.0,2400.0,"dolerite,gabbro,felsic","101,101,65"
Wilgie Mia Formation,banded_iron_formation,2790.0,2735.0,"felsic, banded_iron_formation, bituminous_coal",-1
Wilina Granodiorite,Quartz-rich biotite granodiorite and trondhjemite; medium grained; weakly metamorphosed,3324.0,3310.0,"granodiorite,tonalite","101,101"
Wilki Formation,"Fine- to medium-grained quartz sandstone; minor shale, laminated sandstone, and dolomite",950.0,630.0,"sandstone,mudstone,sandstone,dolostone","101,101,101,101"
Willy Willy Formation,Interbedded stromatolitic dolomite and siltstone; minor sandstone,1620.0,1455.0,"dolostone,mudstone,sandstone","101,101,101"
Wilson Well Gneiss,Heterogeneous tonalitic orthogneiss and schlieric hornblende granodiorite; migmatitic,3420.0,3420.0,"orthogneiss,granodiorite,migmatite","101,101,84"
Wilthorpe Formation,"Pebble to boulder conglomerate; clasts include vein quartz, minor chert, quartz wacke, and granitoid; quartz wacke and finely bedded siltstone; locally chloritic; graded beds",1983.0,1811.0,"gravel,conglomerate,vein,chert,wacke,granitoid,wacke,mudstone","92,101,101,101,101,100,000,000"
Windimurra Igneous Complex,"gabbro, leucogabbro, gabbronorite, granite, aplite",2813.0,2813.0,"gabbronorite, granite, coarse_grained_plutonic_crystalline_igneous_rock, aplite, gabbroid, limestone/silicate_sandstone, dolerite, leucogabbro, magnetitite, gabbro",-1
Windimurra Igneous Complex  border zone,"gabbro, dolerite",2813.0,2813.0,"dolerite, gabbro, metamorphic_pyroxenite",-1
Windimurra Igneous Complex  lower zone,"gabbronorite, gabbro, leucogabbronorite",2813.0,2813.0,"pyroxenite, gabbronorite, gabbroid, leucogabbronorite, gabbro",-1
Windimurra Igneous Complex  middle zone,"gabbronorite, olivinegabbro, leucogabbronorite",2813.0,2813.0,"pyroxenite, gabbronorite, olivinegabbro, gabbroid, leucogabbronorite, dolerite, gabbro",-1
Windimurra Igneous Complex  roof zone,leucogabbro,2813.0,2813.0,"dolerite, gabbro, leucogabbro",-1
Windimurra Igneous Complex  ultramafic zone,"dunite, gabbro, anorthosit, peridotite",2813.0,2813.0,"dolostone, peridotite, dunite, gabbro, anorthosite, anorthosit, dacite",-1
Windimurra Igneous Complex  upper zone,"leucogabbro, anorthosite, magnetite, gabbro",2813.0,2813.0,"gabbroid, leucogabbro, magnetitite, gabbro, magnetite, anorthosite, magnetite_ore",-1
Winnama Formation,"Lithic metasandstone, metasiltstone, metamudstone, metabasalt, metadolerite, and metacarbonate; low to medium grade",1845.0,1840.0,"sandstone,mudstone,mudstone,basalt,dolerite,carbonate","101,101,101,101,101,000"
Winning Group,"Shale, siltstone, marl, and basal sandstone; commonly glauconitic; radiolarian siltstone in central part",139.8,85.0,"mudstone,mudstone,marl,sandstone,glaucophanite,mudstone","101,101,101,101,75,100"
Wirku Metamorphics,Undivided weakly to strongly banded gneiss; typically quartzofeldspathic but includes amphibolitic rocks; mostly derived from sedimentary or volcano-sedimentary protoliths,1340.0,1270.0,"gneiss,quartz_latite,amphibole_rock,metasedimentary_rock","101,65,75,68"
Wirrildar beds,"Fine grained, micaceous sandstone and dolomite, with basal arkosic sandstone; fines and becomes more calcareous upwards",541.0,511.0,"sandstone,dolostone,sandstone,travertine","101,101,101,51"
Wittenoom Formation,"Thinly bedded dolomite and dolomitic shale, with minor black chert, shale, banded iron formation and sandstone",2597.0,2504.0,"dolostone,mudstone,chert,mudstone,banded_iron_formation,sandstone","101,101,101,101,71,101"
Woblegun Formation,Sandstone and siltstone; medium to coarse grained; thin beds of conglomerate,1170.0,1070.0,"sandstone,mudstone,conglomerate","101,101,101"
Wogala Suite,Muscovite-bearing alkali granite; equigranular; common accessory fluorite; post-tectonic,2625.0,2600.0,"granite,tuffaceous_sedimentary_rock","101,52"
Wolline Monzogranite,Monzogranite and syenogranite; porphyritic and seriate; metamorphosed,3252.0,3244.0,"monzogranite,syenogranite","101,101"
Wongarlong Formation,"Medium-grained sandstone, siltstone, shale; local evaporite pseudomorphs",1000.0,635.0,"sandstone,mudstone,mudstone,evaporite","101,101,101,100"
Wongawol Formation,"Sandstone, shale, dolomite, dolomitic siltstone, stromatolitic limestone; minor conglomerate",1876.0,1650.0,"sandstone,mudstone,dolostone,mudstone,limestone,conglomerate","101,101,101,101,101,000"
Wonyulgunna Sandstone,"Quartz sandstone; minor cobble conglomerate, siltstone, and mudstone",1653.0,1455.0,"sandstone,conglomerate,mudstone,mudstone","101,101,101,101"
Woodada Formation,"Fine- to medium-grained sandstone, interbedded with laminated siltstone",250.0,245.0,"sandstone,mudstone","101,101"
Woodbrook Formation,Rhyolite tuff and agglomerate; minor basalt and rare thin banded iron-formation; metamorphosed,3115.0,3110.0,"tuff,agglomerate,basalt","101,101,101"
Woodline Formation,"Quartz sandstone, quartz conglomerate, and mudstone; metamorphosed",1651.0,1600.0,"sandstone,conglomerate,mudstone","101,101,101"
Woodrarrung Sandstone,"Medium- to coarse-grained quartzose sandstone, commonly silicified, overlain by fine- to medium-grained feldspathic sandstone",1000.0,541.0,"sandstone,sandstone","101,101"
Woodstock Monzogranite,Biotite monzogranite; equigranular to feldspar porphyritic; weakly to moderately foliated; locally abundant pegmatite and granodiorite dykes; magnetite-bearing leucogranite pods,2933.0,2927.0,"monzogranite,metasomatic_rock,pegmatite,granodiorite,syenogranite","101,59,101,100,75"
Woodward Dolerite,"Fine- to coarse-grained metadolerite, and minor amphibolite",1847.0,1808.0,"dolerite,amphibolite","101,101"
Woolgra Andesite Member,andesite,2755.0,2755.0,andesite,-1
Wooly Dolomite,Thin- to thick-bedded dolostone; locally stromatolitic,2031.0,2008.0,dolostone,101
Woongarra Rhyolite,"Rhyolite, rhyodacite, rhyolitic breccia, and banded iron-formation; metamorphosed",2449.0,2445.0,"rhyolite,rhyolite,breccia,bituminous_coal","101,101,101,71"
Woora Woora Formation,"Medium-grained ferruginous sandstone, lithic sandstone, quartz wacke, and siltstone",635.0,541.0,"sandstone,sandstone,wacke,mudstone","101,101,101,101"
Wooramel Group,"Fine- to coarse-grained sandstone, siltstone, and minor granule to pebble conglomerate",292.0,283.5,"sandstone,mudstone,gravel,conglomerate","101,101,93,101"
Wotjulum Porphyry,Grey quartz--feldspar-phyric micromonzogranite,1740.0,1725.0,vein,100
Wyloo Group,"Sandstone, siltstone, pebbly sandstone, conglomerate, and dolostone; minor mafic and felsic volcanic rocks and banded iron-formation; metamorphosed",2008.0,1796.0,"sandstone,mudstone,sandstone,conglomerate,dolostone,mafic,felsic,bituminous_coal","101,101,101,101,101,101,100,71"
Wyloo Inlier greenstones,"Basaltic and andesitic flows, and associated volcaniclastic rocks; metamorphosed",3530.0,2893.0,"basalt,andesitoid,volcaniclastic_breccia","86,76,61"
Wyman Formation,"Felsic volcanic and volcaniclastic rocks; local clastic sedimentary rocks, chert and basalt; metamorphosed",3325.0,3315.0,"felsic,volcaniclastic_mud,clastic_sedimentary_rock,chert,basalt","100,74,65,101,101"
Yalgowra Suite,peridotite,2735.0,2711.0,"dolerite, peridotite, gabbro",-1
Yaloginda Formation,"psammitic, pelitic schist",2815.0,2800.0,"quartzite, chert, schist, gabbroid, felsic, bituminous_coal, mafic, peridotite, mudstone, banded_iron_formation, psammitic, peliticschist",-1
Yamarna Terrane greenstones,Amphibolite; locally schistose,2750.0,2650.0,"basalt, chert, ultramafic_rock, mafic, apatitolite, carbonatite, calcilutite, alkali_feldspar_rhyolite, volcaniclastic_mud, gabbro, pyroxenite, andesite, schist, basaltoid, ultrabasic_volcanic_rock, sandstone, dolerite, clastic_sediment, granite, gneiss, serpentinite, amphibolite, iron_sediment, felsic, diaphthorite, mudstone, talc_rock",101
Yampi Formation,"Pink-brown arkose and feldspathic sandstone; minor siltstone, hematitic quartz sandstone, glauconitic sandstone",1835.0,1740.0,"sandstone,sandstone,mudstone,sandstone,sandstone","101,101,101,101,101"
Yandagooge Formation,"Pelitic to semi-pelitic quartz--mica schist and hematite--biotite schist; minor quartzite, felsic gneiss, pyritic graphitic schist, chert, and metamorphosed banded iron-formation",2500.0,1760.0,"mudstone,schist,schist,quartzite,gneiss,schist,chert","77,101,101,101,101,100,000"
