UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Chimingadgi Trondhjemite,"Biotite trondhjemite; medium grained, massive, seriate textured; weakly metamorphosed",3324.0,3277.0,tonalite,101
Choorun Formation,"Pebble to cobble conglomerate, pebbly sandstone, medium- to coarse-grained sandstone",1000.0,635.0,"gravel,conglomerate,sandstone,sandstone","92,101,101,101"
Chunderloo Monzogranite,"monzogranite, amphibolite",2665.0,2640.0,"andesite, monzogranite, amphibolite, mylonite",-1
Cistern Formation,Siliciclastic and felsic volcaniclastic rocks; metamorphosed,2955.0,2943.0,"siliciclastic_sediment,felsic","74,100"
Cleaverville Formation,"Banded iron-formation, ferruginous chert, sandstone, siltstone and shale; minor grey-white chert and felsic volcaniclastic rock; metamorphosed",3022.0,3016.0,"bituminous_coal,chert,sandstone,mudstone,mudstone,chert,felsic","71,101,101,101,101,100,000"
Cleland Supersuite,"Monzogranite, granodiorite, and tonalite; local gabbro and dolerite; variably metamorphosed",3274.0,3223.0,"orthogneiss, granodiorite, monzogranite, dolerite, pegmatite, tonalite, greenstone, gabbro","101,101,101,101,101"
Cliff Pool Tonalite,Weakly foliated to gneissic biotite metatonalite,3068.0,3068.0,tonalite,101
Clutterbuck Formation,"Fine- to coarse-grained feldspathic sandstone, conglomerate and siltstone interbeds",635.0,510.0,"sandstone,conglomerate,mudstone","101,101,100"
Cockatoo Group,"Sandstone, conglomerate, and limestone; minor dolostone and siltstone",382.7,358.9,"sandstone,conglomerate,limestone,dolostone,mudstone","101,101,101,101,101"
Cockeraga Leucogranite,"Leucocratic biotite(--hornblende) tonalite, granodiorite and subordinate monzogranite; local pegmatite, and greenstone and granitic gneiss xenoliths; weakly metamorphosed",3068.0,3066.0,"tonalite,granodiorite,monzogranite,pegmatite,greenstone,gneiss","101,101,101,101,101,000"
Collie Group,"Sandstone, carbonaceous shale, coal, pebble conglomerate",295.0,258.5,"sandstone,mudstone,coal,conglomerate","101,101,101,101"
Collier Group  Depositional package 5,"Siltstone, mudstone, sandstone; minor dolostone, chert, and conglomerate",1171.0,1067.0,"mudstone,mudstone,sandstone,dolostone,chert,conglomerate","101,101,101,101,101,000"
Collier Group  Depositional package 6,"Siltstone, mudstone, and fine-grained sandstone",1171.0,1067.0,"mudstone,mudstone,sandstone","101,101,101"
Colombo Sandstone,Sandstone and pebble breccia,1000.0,541.0,"sandstone,breccia","101,101"
Connaughton Zone metamorphosed mafic volcanic unit,"Amphibolite, metamorphosed banded iron-formation, metachert, metamorphosed carbonate rock, quartzite, pelitic schist, and metamorphosed ultramafic rock",2500.0,1760.0,"amphibolite,chert,carbonate,quartzite,schist,ultramafic_rock","101,101,100,101,101,65"
Connaughtone Zone metamorphosed ultramafic unit,Metamorphosed ultramafic rock; mainly serpentinite,2500.0,1760.0,"ultramafic_rock,serpentinite","65,101"
Constantine Sandstone,"Sandstone and wacke, locally arkosic; local conglomerate; includes quartzite; metamorphosed",3015.0,2948.0,"sandstone,wacke,sandstone,conglomerate,quartzite","101,101,77,101,101"
Coodardy Pool Formation,banded_iron_formation,2800.0,2790.0,"quartzite, till, banded_iron_formation",-1
Cooglegong Monzogranite,"Monzogranite, coarse grained and commonly porphyritic; locally fine grained or pegmatitic; local igneous layering; metamorphosed",2851.0,2831.0,"monzogranite,pegmatite,igneous_rock","101,84,59"
Cookes Creek Monzogranite,Biotite monzogranite; seriate to feldspar porphyritic; fine to medium grained; weakly metamorphosed,2837.0,2837.0,"monzogranite,metasomatic_rock","101,59"
Coolbro Sandstone,Massive to thick-bedded quartz sandstone and minor siltstone and shale; local basal conglomerate,911.0,650.0,"sandstone,mudstone,mudstone,conglomerate","101,101,101,101"
